date,region,peak_demand_mw,available_capacity_mw,outage_incidents,field_staff_vacancy_rate
2026-06-23,West,4540.8,5061,9,34
2026-06-24,East,4456.7,5168,8,18
2026-06-25,North,4322.7,5025,7,31
2026-06-26,Central,4838.7,4832,6,44
2026-06-27,South,4654.7,5239,5,28
2026-06-28,West,4620.6,5096,4,41
2026-06-29,East,4536.6,5203,3,25
2026-06-30,North,4402.6,5060,2,38
2026-07-01,Central,4918.5,4867,13,22
2026-07-02,South,4734.5,5274,12,35
2026-07-03,West,4700.5,5131,11,19
2026-07-04,East,4356.5,5238,10,32
2026-07-05,North,4222.4,5095,9,45
2026-07-06,Central,4738.4,4902,8,29
2026-07-07,South,4554.4,5309,7,42
2026-07-08,West,4520.3,5166,6,26
2026-07-09,East,4436.3,5273,5,39
2026-07-10,North,4302.3,5130,4,23
2026-07-11,Central,4818.3,4937,3,36
2026-07-12,South,4634.2,5344,2,20
2026-07-13,West,4600.2,5051,13,33
2026-07-14,East,4516.2,5158,12,46
2026-07-15,North,4382.2,5015,11,30
2026-07-16,Central,4898.2,4822,10,43
2026-07-17,South,4714.2,5229,9,27
2026-07-18,West,4680.2,5086,8,40
2026-07-19,East,4336.2,5193,7,24
2026-07-20,North,4202.2,5050,6,37
2026-07-21,Central,4718.2,4857,5,21
2026-07-22,South,4534.2,5264,4,34
2026-07-23,West,4500.3,5121,3,18
2026-07-24,East,4416.3,5228,2,31
2026-07-25,North,4282.3,5085,13,44
2026-07-26,Central,4798.4,4892,12,28
2026-07-27,South,4614.4,5299,11,41
2026-07-28,West,4580.5,5156,10,25
2026-07-29,East,4496.6,5263,9,38
2026-07-30,North,4362.6,5120,8,22
2026-07-31,Central,4878.7,4927,7,35
2026-08-01,South,4694.8,5334,6,19
2026-08-02,West,4660.9,5191,5,32
2026-08-03,East,4577.0,5298,4,45
2026-08-04,North,4183.2,5005,3,29
2026-08-05,Central,4699.3,4812,2,42
2026-08-06,South,4515.4,5219,13,26
2026-08-07,West,4481.6,5076,12,39
2026-08-08,East,4397.7,5183,11,23
2026-08-09,North,4263.9,5040,10,36
2026-08-10,Central,4780.1,4847,9,20
2026-08-11,South,4596.3,5254,8,33
2026-08-12,West,4562.5,5111,7,46
2026-08-13,East,4478.7,5218,6,30
2026-08-14,North,4344.9,5075,5,43
2026-08-15,Central,4861.2,4882,4,27
2026-08-16,South,4677.4,5289,3,40
2026-08-17,West,4643.7,5146,2,24
2026-08-18,East,4559.9,5253,13,37
2026-08-19,North,4166.2,5110,12,21
2026-08-20,Central,4682.5,4917,11,34
2026-08-21,South,4498.8,5324,10,18
2026-08-22,West,4465.2,5181,9,31
2026-08-23,East,4381.5,5288,8,44
2026-08-24,North,4247.9,5145,7,28
2026-08-25,Central,4764.2,4802,6,41
2026-08-26,South,4580.6,5209,5,25
2026-08-27,West,4547.0,5066,4,38
2026-08-28,East,4463.4,5173,3,22
2026-08-29,North,4329.8,5030,2,35
2026-08-30,Central,4846.3,4837,13,19
2026-08-31,South,4662.7,5244,12,32
2026-09-01,West,4629.2,5101,11,45
2026-09-02,East,4545.7,5208,10,29
2026-09-03,North,4152.2,5065,9,42
2026-09-04,Central,4668.7,4872,8,26
2026-09-05,South,4485.2,5279,7,39
2026-09-06,West,4451.8,5136,6,23
2026-09-07,East,4368.4,5243,5,36
2026-09-08,North,4234.9,5100,4,20
2026-09-09,Central,4751.5,4907,3,33
2026-09-10,South,4568.2,5314,2,46
2026-09-11,West,4534.8,5171,13,30
2026-09-12,East,4451.4,5278,12,43
2026-09-13,North,4318.1,5135,11,27
2026-09-14,Central,4834.8,4942,10,40
2026-09-15,South,4651.5,5349,9,24
2026-09-16,West,4618.2,5056,8,37
2026-09-17,East,4534.9,5163,7,21
2026-09-18,North,4141.7,5020,6,34
2026-09-19,Central,4658.4,4827,5,18
2026-09-20,South,4475.2,5234,4,31
2026-09-21,West,4442.0,5091,3,44
2026-09-22,East,4358.8,5198,2,28
2026-09-23,North,4225.7,5055,13,41
2026-09-24,Central,4742.5,4862,12,25
2026-09-25,South,4559.4,5269,11,38
2026-09-26,West,4526.3,5126,10,22
2026-09-27,East,4443.2,5233,9,35
2026-09-28,North,4310.1,5090,8,19
2026-09-29,Central,4827.1,4897,7,32
2026-09-30,South,4644.0,5304,6,45
2026-10-01,West,4611.0,5161,5,29
2026-10-02,East,4528.0,5268,4,42
2026-10-03,North,4395.0,5125,3,26
2026-10-04,Central,4652.0,4932,2,39
2026-10-05,South,4469.1,5339,13,23
2026-10-06,West,4436.2,5196,12,36
2026-10-07,East,4353.2,5153,11,20
2026-10-08,North,4220.3,5010,10,33
2026-10-09,Central,4737.5,4817,9,46
2026-10-10,South,4554.6,5224,8,30
2026-10-11,West,4521.8,5081,7,43
2026-10-12,East,4438.9,5188,6,27
2026-10-13,North,4306.1,5045,5,40
2026-10-14,Central,4823.3,4852,4,24
2026-10-15,South,4640.6,5259,3,37
2026-10-16,West,4607.8,5116,2,21
2026-10-17,East,4525.1,5223,13,34
2026-10-18,North,4392.3,5080,12,18
2026-10-19,Central,4649.6,4887,11,31
2026-10-20,South,4466.9,5294,10,44
2026-10-21,West,4434.3,5151,9,28
2026-10-22,East,4351.6,5258,8,41
2026-10-23,North,4219.0,5115,7,25
2026-10-24,Central,4736.3,4922,6,38
2026-10-25,South,4553.7,5329,5,22
2026-10-26,West,4521.2,5186,4,35
2026-10-27,East,4438.6,5293,3,19
2026-10-28,North,4306.0,5000,2,32
2026-10-29,Central,4823.5,4807,13,45
2026-10-30,South,4641.0,5214,12,29
2026-10-31,West,4608.4,5071,11,42
2026-11-01,East,4526.0,5178,10,26
2026-11-02,North,4393.5,5035,9,39
2026-11-03,Central,4651.0,4842,8,23
2026-11-04,South,4468.6,5249,7,36
2026-11-05,West,4436.1,5106,6,20
2026-11-06,East,4353.7,5213,5,33
2026-11-07,North,4221.3,5070,4,46
2026-11-08,Central,4738.9,4877,3,30
2026-11-09,South,4556.5,5284,2,43
2026-11-10,West,4524.2,5141,13,27
2026-11-11,East,4441.8,5248,12,40
2026-11-12,North,4309.5,5105,11,24
2026-11-13,Central,4827.2,4912,10,37
2026-11-14,South,4644.9,5319,9,21
2026-11-15,West,4612.6,5176,8,34
2026-11-16,East,4530.3,5283,7,18
2026-11-17,North,4398.0,5140,6,31
2026-11-18,Central,4915.8,4947,5,44
2026-11-19,South,4473.5,5204,4,28
2026-11-20,West,4441.3,5061,3,41
2026-11-21,East,4359.1,5168,2,25
2026-11-22,North,4226.9,5025,13,38
2026-11-23,Central,4744.7,4832,12,22
2026-11-24,South,4562.5,5239,11,35
2026-11-25,West,4530.3,5096,10,19
2026-11-26,East,4448.2,5203,9,32
2026-11-27,North,4316.0,5060,8,45
2026-11-28,Central,4833.9,4867,7,29
2026-11-29,South,4651.7,5274,6,42
2026-11-30,West,4619.6,5131,5,26
2026-12-01,East,4537.5,5238,4,39
2026-12-02,North,4405.4,5095,3,23
2026-12-03,Central,4923.3,4902,2,36
2026-12-04,South,4481.2,5309,13,20
2026-12-05,West,4449.1,5166,12,33
2026-12-06,East,4367.0,5273,11,46
2026-12-07,North,4235.0,5130,10,30
2026-12-08,Central,4752.9,4937,9,43
2026-12-09,South,4570.9,5344,8,27
2026-12-10,West,4538.8,5051,7,40
2026-12-11,East,4456.8,5158,6,24
2026-12-12,North,4324.7,5015,5,37
2026-12-13,Central,4842.7,4822,4,21
2026-12-14,South,4660.7,5229,3,34
2026-12-15,West,4628.7,5086,2,18
2026-12-16,East,4546.7,5193,13,31
2026-12-17,North,4414.7,5050,12,44
2026-12-18,Central,4932.7,4857,11,28
2026-12-19,South,4490.7,5264,10,41
2026-12-20,West,4458.7,5121,9,25
2026-12-21,East,4376.7,5228,8,38
2026-12-22,North,4244.7,5085,7,22
2026-12-23,Central,4762.7,4892,6,35
2026-12-24,South,4580.8,5299,5,19
2026-12-25,West,4548.8,5156,4,32
2026-12-26,East,4466.8,5263,3,45
2026-12-27,North,4334.8,5120,2,29
2026-12-28,Central,4852.9,4927,13,42
2026-12-29,South,4670.9,5334,12,26
2026-12-30,West,4638.9,5191,11,39
2026-12-31,East,4557.0,5298,10,23
